,Flower Name,Season,Plant Type,Blooms,Zones,Sun Needs,Soil Needs,Features,Picture Link
138,Tithonia,Summer,Flower,Mid Summer,10 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/tithonia-diversifolia-765106.jpg
139,Torenia,Summer,Flower,Mid Summer,2 --11,Partial Shade,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/8225263728-e0f786f37d.jpg
140,Trillium,Spring,Flower,Late Spring,3 --9,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/trillium-179717.jpg
141,Tulip,Spring,Flower,Entire Spring,4 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/tulip-271352.jpg
142,Verbena,Summer,Flower, Mid Summer,7 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-756181.jpg
143,Violet,Spring,Flower,Early Spring ,3 --9,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/plant-978227.jpg
144,Virginia Bluebell,Spring,Flower,Mid Spring,4 --9,Partial Shade,Damp,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/virginiabluebells.jpg
145,Wild Senna,Summer,Flower,Mid Summer,4 --7,Full Sun,Well-drained,Attracts butterflies and hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/senna-multiglandulosa-5.jpg
146,Windflower,Spring,Flower,Early Spring,4 --8,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/anemone-nemorosa-18303.jpg
147,Yarrow,Summer,Flower,Mid Summer,3 --10,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/yarrow-181683.jpg
148,Yellow Archangel,Spring,Flower,Late Spring ,3 --9,Partial Shade / Full Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/dead-nettle-474348.jpg
149,Yellow Loosestrife,Summer,Flower, Mid Summer,3 --9,Full Sun / Partial Shade,Damp,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/loosestrife-8153.jpg
150,Zinnia,Summer,Flower,Mid Summer,2 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/zinnia-413564.jpg
